2020-03-06 17:14:00,651 Center id 2. Entity id 4
2020-03-06 17:17:58,907 Center id 2. Entity id 5
2020-03-06 17:23:38,389 Center id 2. Entity id 5
2020-03-06 17:30:20,303 Request type: DELETE; Center id: 2; Entity id: 5; 
2020-03-08 18:04:56,704 Request type: POST; URL: http://127.0.0.1:5000/register; Center id: 5; Entity type: centers; Entity id: 5
2020-03-08 18:08:56,476 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 5; Entity type: species; Entity id: 4
2020-03-08 18:10:48,505 Request type: POST; URL: http://127.0.0.1:5000/animals; Center id: 5; Entity type: animals; Entity id: 11
2020-03-08 18:11:56,704 Request type: PUT; URL: http://127.0.0.1:5000/animals/11; Center id: 5; Entity type: animals; Entity id: 11
2020-03-08 18:14:29,994 Request type: DELETE; URL: http://127.0.0.1:5000/animals/11; Center id: 5; Entity type: animals; Entity id: 11
2020-03-08 18:28:38,376 Request type: DELETE; URL: http://127.0.0.1:5000/animals/1; Center id: 1; Entity type: animals; Entity id: 1
2020-03-08 18:35:44,896 Request type: PUT; URL: http://127.0.0.1:5000/animals/3; Center id: 1; Entity type: animals; Entity id: 3
2020-03-08 19:15:38,877 Request type: DELETE; URL: http://127.0.0.1:5000/animals/3; Center id: 1; Entity type: animals; Entity id: 3
2020-03-08 22:50:28,449 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-08 22:50:51,429 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 5
2020-03-08 22:53:06,760 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 6
2020-03-08 22:57:14,641 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-08 23:05:34,408 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-09 00:28:08,222 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-09 00:30:54,637 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-09 00:38:21,120 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-09 11:12:54,476 Request type: DELETE; URL: http://127.0.0.1:5000/animals/5; Center id: 2; Entity type: animals; Entity id: 5
2020-03-09 11:14:22,696 Request type: DELETE; URL: http://127.0.0.1:5000/animals/6; Center id: 2; Entity type: animals; Entity id: 6
2020-03-09 11:16:55,415 Request type: DELETE; URL: http://127.0.0.1:5000/animals/5; Center id: 2; Entity type: animals; Entity id: 5
2020-03-09 11:20:13,564 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:24:34,057 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:25:30,504 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:28:46,244 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:30:20,340 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:33:38,879 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:36:51,010 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:42:48,120 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:44:25,739 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:49:22,285 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 11:51:49,105 Request type: DELETE; URL: http://127.0.0.1:5000/animals/4; Center id: 2; Entity type: animals; Entity id: 4
2020-03-09 12:17:45,368 Request type: DELETE; URL: http://127.0.0.1:5000/animals/6; Center id: 2; Entity type: animals; Entity id: 6
2020-03-09 12:36:45,108 Request type: PUT; URL: http://127.0.0.1:5000/animals/5; Center id: 2; Entity type: animals; Entity id: 5
2020-03-09 12:48:00,652 Request type: PUT; URL: http://127.0.0.1:5000/animals/5; Center id: 2; Entity type: animals; Entity id: 5
2020-03-09 13:02:14,955 Request type: PUT; URL: http://127.0.0.1:5000/animals/5; Center id: 2; Entity type: animals; Entity id: 5
2020-03-09 13:29:48,361 Request type: POST; URL: http://127.0.0.1:5000/animals; Center id: 2; Entity type: animals; Entity id: 10
2020-03-09 13:49:27,486 Request type: POST; URL: http://127.0.0.1:5000/animals; Center id: 2; Entity type: animals; Entity id: 10
2020-03-09 17:25:34,133 Request type: POST; URL: http://127.0.0.1:5000/register; Center id: 4; Entity type: centers; Entity id: 4
2020-03-09 17:28:10,058 Request type: POST; URL: http://127.0.0.1:5000/animals; Center id: 4; Entity type: animals; Entity id: 10
2020-03-09 17:29:05,960 Request type: PUT; URL: http://127.0.0.1:5000/animals/10; Center id: 4; Entity type: animals; Entity id: 10
2020-03-09 17:53:10,923 Request type: POST; URL: http://127.0.0.1:5000/animals; Center id: 2; Entity type: animals; Entity id: 10
2020-03-09 17:54:12,413 Request type: PUT; URL: http://127.0.0.1:5000/animals/10; Center id: 2; Entity type: animals; Entity id: 10
2020-03-09 17:54:40,148 Request type: DELETE; URL: http://127.0.0.1:5000/animals/10; Center id: 2; Entity type: animals; Entity id: 10
2020-03-09 18:08:44,166 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-09 20:00:13,372 Request type: POST; URL: http://127.0.0.1:5000/register; Center id: 4; Entity type: centers; Entity id: 4
2020-03-09 20:10:05,445 Request type: POST; URL: http://127.0.0.1:5000/register; Center id: 4; Entity type: centers; Entity id: 4
2020-03-09 20:12:09,840 Request type: POST; URL: http://127.0.0.1:5000/register; Center id: 5; Entity type: centers; Entity id: 5
2020-03-09 20:35:18,590 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 4
2020-03-09 20:36:04,068 Request type: POST; URL: http://127.0.0.1:5000/animals; Center id: 2; Entity type: animals; Entity id: 10
2020-03-09 20:36:59,473 Request type: POST; URL: http://127.0.0.1:5000/animals; Center id: 2; Entity type: animals; Entity id: 11
2020-03-09 20:40:17,540 Request type: PUT; URL: http://127.0.0.1:5000/animals/10; Center id: 2; Entity type: animals; Entity id: 10
2020-03-09 20:42:13,043 Request type: POST; URL: http://127.0.0.1:5000/species; Center id: 2; Entity type: species; Entity id: 5
